region,Technology,Resource_Type,Existing_Cap_MW,Cap_Size,CapRes,Commit,cluster,Down_Time,DR,Eff_Down,Eff_Up,ESR_1,ESR_2,ESR_3,Existing_Cap_MWh,Existing_Charge_Cap_MW,Fixed_OM_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fuel,Heat_Rate_MMBTU_per_MWh,HYDRO,Hydro_Energy_to_Power_Ratio,Hydro_level,Inv_Cost_Charge_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_per_MWyr,LDS,MaxCapTag,MaxCapTag_1,MaxCapTag_2,MinCapTag,MinCapTag_1,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Min_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Min_Power,MUST_RUN,New_Build,Num_VRE_Bins,plant_inv_cost_mwyr,Ramp_Dn_Percentage,Ramp_Up_Percentage,Ratio_power_to_energy,Reg_Cost,Reg_Max,Rsv_Max,Resource,RPS,Rsv_Cost,Self_Disch,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,STOR,THERM,Up_Time,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,VRE,Zone,FLEX,RETRO
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,532,266.1,0.9,1,10,6,0,1,1,0,0,0,0,0,0,0,10065.76,NG,8.623,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.631,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_9,0,0,0,89,2,0,1,6,3.71424,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,237,118.5,0.9,1,11,6,0,1,1,0,0,0,0,0,0,0,16961.06,NG,10.759,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.458,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_10,0,0,0,89,2,0,1,6,4.6799,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,1188,1188,0.9,1,12,6,0,1,1,0,0,0,0,0,0,0,12682.9,NG,10.699,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.455,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_11,0,0,0,89,2,0,1,6,3.65912,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,1026,342,0.9,1,13,6,0,1,1,0,0,0,0,0,0,0,16961.06,NG,9.77,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.23,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_12,0,0,0,89,2,0,1,6,4.6799,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,7481,680.091,0.9,1,14,6,0,1,1,0,0,0,0,0,0,0,10065.76,NG,7.705,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_13,0,0,0,89,2,0,1,6,3.71424,0,0,1,0,0
TX,Natural Gas Fired Combined Cycle,Natural Gas Fired Combined Cycle,824,824,0.9,1,15,6,0,1,1,0,0,0,0,0,0,0,10065.76,NG,9.44,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.534,0,0,0,0,0.64,0.64,1,0,0.3,0.3,natural_gas_fired_combined_cycle_14,0,0,0,89,2,0,1,6,3.71424,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,741,67.364,0.9,1,16,1,0,1,1,0,0,0,0,0,0,0,9995.8,NG,14.312,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.52,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,1073,57.337,0.9,1,17,1,0,1,1,0,0,0,0,0,0,0,11809.46,NG,9.715,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.302,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_1,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,81,81,0.9,1,18,1,0,1,1,0,0,0,0,0,0,0,14360.88,NG,21.342,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_2,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,180,45,0.9,1,19,1,0,1,1,0,0,0,0,0,0,0,11809.46,NG,13.816,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.3,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_3,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,91,30.2,0.9,1,20,1,0,1,1,0,0,0,0,0,0,0,14360.88,NG,11.681,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.405,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_4,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,13,13,0.9,1,21,1,0,1,1,0,0,0,0,0,0,0,14360.88,NG,28.359,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.231,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_5,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,354,39.278,0.9,1,22,1,0,1,1,0,0,0,0,0,0,0,14360.88,NG,13.117,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_6,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,557,46.417,0.9,1,23,1,0,1,1,0,0,0,0,0,0,0,11809.46,NG,10.777,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.381,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_7,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,1539,85.5,0.9,1,24,1,0,1,1,0,0,0,0,0,0,0,9995.8,NG,13.112,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.737,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_8,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,846,65.077,0.9,1,25,1,0,1,1,0,0,0,0,0,0,0,9995.8,NG,15.352,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.512,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_9,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,336,168,0.9,1,26,1,0,1,1,0,0,0,0,0,0,0,9995.8,NG,11.242,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.446,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_10,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,208,104,0.9,1,27,1,0,1,1,0,0,0,0,0,0,0,11809.46,NG,15.215,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.337,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_11,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,547,49.727,0.9,1,28,1,0,1,1,0,0,0,0,0,0,0,11809.46,NG,13.134,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.411,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_12,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
TX,Natural Gas Fired Combustion Turbine,Natural Gas Fired Combustion Turbine,41,41,0.9,1,29,1,0,1,1,0,0,0,0,0,0,0,14360.88,NG,19.013,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0.634,0,0,0,0,1,1,1,0,0.3,0.3,natural_gas_fired_combustion_turbine_13,0,0,0,116,3.5,0,1,1,5.37526,0,0,1,0,0
