BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1550,45084.90833230456,0.0,-6159.338332304564,0.0,-0.0,0.0,0.0,0.0,0.0,-38925.57
t1551,44831.885649409465,0.0,-5936.315649409465,0.0,-0.0,0.0,0.0,0.0,0.0,-38895.57
t1552,39321.58147605857,0.0,-525.0114760585675,0.0,-0.0,0.0,0.0,0.0,0.0,-38796.57
t1553,42602.8061428164,0.0,-3628.2361428163917,0.0,-0.0,0.0,0.0,0.0,0.0,-38974.57
t1554,42559.7691873209,0.0,-2145.1991873208935,0.0,-0.0,0.0,0.0,0.0,0.0,-40414.57
t1555,41921.80874230005,300.77273375853053,-525.0114760585675,0.0,-0.0,0.0,0.0,0.0,0.0,-41697.57
t1556,42957.468040969616,0.0,-1532.8980409696114,0.0,-0.0,0.0,0.0,0.0,0.0,-41424.57
t1557,41020.57,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-41020.57
t1558,40680.05336799999,428.11475187644504,-1249.5981198764493,0.0,-0.0,0.0,0.0,0.0,0.0,-39858.57
t1559,37710.24433468571,846.6767358616422,-1003.3510705473578,0.0,-0.0,0.0,0.0,0.0,0.0,-37553.57
t1560,34824.68749405175,1081.6674241009273,-745.7849181526728,0.0,-0.0,0.0,0.0,0.0,0.0,-35160.57
t1561,32879.47680265158,1255.2737471758073,-571.1805498273927,0.0,-0.0,0.0,0.0,0.0,0.0,-33563.57
t1562,31838.120612176812,1415.8703527774921,-423.4209649543058,0.0,-0.0,0.0,0.0,0.0,0.0,-32830.57
t1563,31303.870159497084,1548.387749283958,-300.6879087810418,0.0,-0.0,0.0,0.0,0.0,0.0,-32551.57
t1564,31452.079999697016,1571.0558666958916,-276.5658663929085,0.0,-0.0,0.0,0.0,0.0,0.0,-32746.57
t1565,32425.19790040962,1542.8214820719907,-301.4493824816094,0.0,-0.0,0.0,0.0,0.0,0.0,-33666.57
t1566,34957.25065411417,1530.9345455946154,-333.61519970878436,0.0,-0.0,0.0,0.0,0.0,0.0,-36154.57
t1567,39474.37191094245,1519.6257037100156,-1210.4276146524687,0.0,-0.0,0.0,0.0,0.0,0.0,-39783.57
t1568,40634.51598242018,1470.242279849055,-1215.1882622692292,0.0,-0.0,0.0,0.0,0.0,0.0,-40889.57
t1569,40595.39962236286,740.7422046651725,-1015.5718270280274,0.0,-0.0,0.0,0.0,0.0,0.0,-40320.57
t1570,42507.82277951809,0.0,-2600.2527795180854,0.0,-0.0,0.0,0.0,0.0,0.0,-39907.57
t1571,44153.75560256791,0.0,-4561.1856025679035,0.0,-0.0,0.0,0.0,0.0,0.0,-39592.57
t1572,44943.67250947923,0.0,-5576.102509479223,0.0,-0.0,0.0,0.0,0.0,0.0,-39367.57
t1573,45520.14691801006,0.0,-6182.576918010067,0.0,-0.0,0.0,0.0,0.0,0.0,-39337.57
t1574,45721.87043596,0.0,-6151.3004359600045,0.0,-0.0,0.0,0.0,0.0,0.0,-39570.57
